case_num,dataset,model,batch_size,max_epoch,optimizer,learning_rate,lr_step,lr_gamma,l2_decay,loss_fn,use_tensorboard,eval_metric
0,cifar10,vgg16,50,60,adam,1.00E-01,60,0.1,0,cross_entropy,False,class_acc
1,cifar10,vgg16,50,60,adam,5.00E-02,60,0.1,0,cross_entropy,False,class_acc
2,cifar10,vgg16,50,60,adam,1.00E-02,60,0.1,0,cross_entropy,False,class_acc
3,cifar10,vgg16,50,60,adam,5.00E-03,60,0.1,0,cross_entropy,False,class_acc
4,cifar10,vgg16,50,60,adam,1.00E-03,60,0.1,0,cross_entropy,False,class_acc
5,cifar10,vgg16,50,60,adam,5.00E-04,60,0.1,0,cross_entropy,False,class_acc
6,cifar10,vgg16,50,60,adam,1.00E-04,60,0.1,0,cross_entropy,False,class_acc
7,cifar10,vgg16,50,60,adam,5.00E-05,60,0.1,0,cross_entropy,False,class_acc
8,cifar10,vgg16,50,60,adam,1.00E-05,60,0.1,0,cross_entropy,False,class_acc
9,cifar10,vgg16,40,60,adam,1.00E-01,60,0.1,0,cross_entropy,False,class_acc
10,cifar10,vgg16,40,60,adam,5.00E-02,60,0.1,0,cross_entropy,False,class_acc
11,cifar10,vgg16,40,60,adam,1.00E-02,60,0.1,0,cross_entropy,False,class_acc
12,cifar10,vgg16,40,60,adam,5.00E-03,60,0.1,0,cross_entropy,False,class_acc
13,cifar10,vgg16,40,60,adam,1.00E-03,60,0.1,0,cross_entropy,False,class_acc
14,cifar10,vgg16,40,60,adam,5.00E-04,60,0.1,0,cross_entropy,False,class_acc
15,cifar10,vgg16,40,60,adam,1.00E-04,60,0.1,0,cross_entropy,False,class_acc
16,cifar10,vgg16,40,60,adam,5.00E-05,60,0.1,0,cross_entropy,False,class_acc
17,cifar10,vgg16,40,60,adam,1.00E-05,60,0.1,0,cross_entropy,False,class_acc
18,cifar10,vgg16,30,60,adam,1.00E-01,60,0.1,0,cross_entropy,False,class_acc
19,cifar10,vgg16,30,60,adam,5.00E-02,60,0.1,0,cross_entropy,False,class_acc
20,cifar10,vgg16,30,60,adam,1.00E-02,60,0.1,0,cross_entropy,False,class_acc
21,cifar10,vgg16,30,60,adam,5.00E-03,60,0.1,0,cross_entropy,False,class_acc
22,cifar10,vgg16,30,60,adam,1.00E-03,60,0.1,0,cross_entropy,False,class_acc
23,cifar10,vgg16,30,60,adam,5.00E-04,60,0.1,0,cross_entropy,False,class_acc
24,cifar10,vgg16,30,60,adam,1.00E-04,60,0.1,0,cross_entropy,False,class_acc
25,cifar10,vgg16,30,60,adam,5.00E-05,60,0.1,0,cross_entropy,False,class_acc
26,cifar10,vgg16,30,60,adam,1.00E-05,60,0.1,0,cross_entropy,False,class_acc
27,cifar10,vgg16,20,60,adam,1.00E-01,60,0.1,0,cross_entropy,False,class_acc
28,cifar10,vgg16,20,60,adam,5.00E-02,60,0.1,0,cross_entropy,False,class_acc
29,cifar10,vgg16,20,60,adam,1.00E-02,60,0.1,0,cross_entropy,False,class_acc
30,cifar10,vgg16,20,60,adam,5.00E-03,60,0.1,0,cross_entropy,False,class_acc
31,cifar10,vgg16,20,60,adam,1.00E-03,60,0.1,0,cross_entropy,False,class_acc
32,cifar10,vgg16,20,60,adam,5.00E-04,60,0.1,0,cross_entropy,False,class_acc
33,cifar10,vgg16,20,60,adam,1.00E-04,60,0.1,0,cross_entropy,False,class_acc
34,cifar10,vgg16,20,60,adam,5.00E-05,60,0.1,0,cross_entropy,False,class_acc
